# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"270 ","Guinard, Manuel","$158,350 ","$71,183 ","$87,167","$703,123"
"271 ","Pellegrino, Andrea","$157,352 ","$133,266 ","$24,086","$733,599"
"272 ","Brouwer, Gijs","$156,595 ","$150,847 ","$5,748","$785,988"
"273 ","Rocha, Henrique","$156,073 ","$145,274 ","$10,799","$225,203"
"274 ","Faria, Jaime","$154,653 ","$145,016 ","$9,637","$211,992"
"275 ","Cerundolo, Juan Manuel","$154,367 ","$152,815 ","$1,552","$1,027,526"
"276 ","Mansouri, Skander","$153,706 ","$7,998 ","$145,708","$375,910"
"277 ","Broom, Charles","$153,182 ","$125,684 ","$27,498","$288,595"
"278 ","Kudla, Denis","$152,794 ","$149,704 ","$3,090","$4,646,419"
"279 ","Vesely, Jiri","$152,534 ","$151,025 ","$1,509","$6,105,681"
"280 ","Lajal, Mark","$151,344 ","$148,462 ","$2,882","$256,587"
"281 ","Verbeek, Sem","$149,963 ","$0 ","$149,963","$308,412"
"282 ","Andreozzi, Guido","$149,487 ","$16,667 ","$132,820","$1,627,617"
"283 ","Quinn, Ethan","$149,378 ","$141,535 ","$7,843","$357,628"
"284 ","Sweeny, Dane","$149,158 ","$132,145 ","$17,013","$457,045"
"285 ","Paire, Benoit","$148,042 ","$144,336 ","$3,706","$10,454,491"
"286 ","Majchrzak, Kamil","$146,492 ","$145,003 ","$1,489","$2,096,298"
"287 ","Rincon, Daniel","$143,170 ","$120,342 ","$22,828","$289,204"
"288 ","Piros, Zsombor","$142,070 ","$141,596 ",$474,"$587,822"
"289 ","Dougaz, Aziz","$141,786 ","$137,487 ","$4,299","$402,848"
"290 ","Landaluce, Martin","$140,951 ","$140,951 ",$0,"$216,952"
"291 ","De Loore, Joris","$138,944 ","$138,139 ",$805,"$558,739"
"292 ","Mahut, Nicolas","$138,556 ","$0 ","$138,556","$12,821,987"
"293 ","Martineau, Matteo","$137,999 ","$128,703 ","$9,296","$338,330"
